,date,sum_deposit
0,2020-03-20,95532359656.0
1,2020-03-21,109101513219.0
2,2020-03-22,162830846262.0
3,2020-03-23,474372340248.0
4,2020-03-24,2218489561287.0
5,2020-03-25,2007216109722.0
6,2020-03-26,463121816640.0
7,2020-03-27,831533251397.0
8,2020-03-28,3203855971772.0
9,2020-03-29,2878849352946.0
10,2020-03-30,1942299217259.0
11,2020-03-31,215451027793.0
12,2020-04-01,184791421661.0
13,2020-04-02,345700302582.0
14,2020-04-03,760988012733.0
15,2020-04-04,3693288440158.0
16,2020-04-05,2998820640050.0
17,2020-04-06,4461748626034.0
18,2020-04-07,4971313625124.0
19,2020-04-08,3754630397030.0
20,2020-04-09,405776837504.0
21,2020-04-10,746352086573.0
22,2020-04-11,3606634249780.0
23,2020-04-12,3887397725798.0
24,2020-04-13,4119528555185.0
25,2020-04-14,16736713503561.0
26,2020-04-15,9377886660746.0
27,2020-04-16,1232541663427.0
28,2020-04-17,1166112577399.0
29,2020-04-18,3981296340379.0
30,2020-04-19,4682942070539.0
31,2020-04-20,5598417616226.0
32,2020-04-21,6050230786586.0
33,2020-04-22,6235697189372.0
34,2020-04-23,1777467815111.0
35,2020-04-24,2553428048785.0
36,2020-04-25,8690374617086.0
37,2020-04-26,7594357275442.0
38,2020-04-27,8660136718316.0
39,2020-04-28,8597522544473.0
40,2020-04-29,6722224833449.0
41,2020-04-30,2349393340071.0
42,2020-05-01,3122961827446.0
43,2020-05-02,11139538234167.0
44,2020-05-03,11459084126656.0
45,2020-05-04,10004167846827.0
46,2020-05-05,8033180717408.0
47,2020-05-06,6521026856970.0
48,2020-05-07,1673043334785.0
49,2020-05-08,2339244493458.0
50,2020-05-09,9801873561371.0
51,2020-05-10,7387313147082.0
52,2020-05-11,6560649909377.0
53,2020-05-12,6473226425641.0
54,2020-05-13,5822528709099.0
55,2020-05-14,1164417623512.0
56,2020-05-15,1252409076018.0
57,2020-05-16,4558659595132.0
58,2020-05-17,4750119174081.0
59,2020-05-18,5824013803181.0
60,2020-05-19,6308949359807.0
61,2020-05-20,5242357715397.0
62,2020-05-21,1540927579149.0
63,2020-05-22,1195199852314.0
64,2020-05-23,3679215571060.0
65,2020-05-24,619947151128.0
66,2020-05-25,996375203997.0
67,2020-05-26,4285104105266.0
68,2020-05-27,4496571161139.0
69,2020-05-28,845410264101.0
70,2020-05-29,1056148112890.0
71,2020-05-30,4266402241914.0
72,2020-05-31,3396205185065.0
73,2020-06-01,2535251644011.0
74,2020-06-02,3776412118129.0
75,2020-06-03,400692509724.0
76,2020-06-04,313368624882.0
77,2020-06-05,367571446151.0
78,2020-06-06,5116915139030.0
79,2020-06-07,6019752944185.0
80,2020-06-08,5406462446509.0
81,2020-06-09,4558561100585.0
82,2020-06-10,4078369929699.0
83,2020-06-11,1408086327226.0
84,2020-06-12,1604004607389.0
85,2020-06-13,6288629022801.0
86,2020-06-14,5946052473321.0
87,2020-06-15,5637827903140.0
88,2020-06-16,5121073339016.0
89,2020-06-17,750935028165.0
90,2020-06-18,1640458498769.0
91,2020-06-19,2310029675701.0
92,2020-06-20,7612095406823.0
93,2020-06-21,8953948065920.0
94,2020-06-22,8681013708390.0
95,2020-06-23,9448513403949.0
96,2020-06-24,751762816654.0
97,2020-06-25,466265104427.0
98,2020-06-26,640458788177.0
99,2020-06-27,4664161641745.0
100,2020-06-28,4497180842287.0
101,2020-06-29,9901029638650.0
102,2020-06-30,12625575886351.0
103,2020-07-01,8583199257895.0
104,2020-07-02,2364512564396.0
105,2020-07-03,2839030264715.0
106,2020-07-04,8824537137586.0
107,2020-07-05,9772659818193.0
108,2020-07-06,10444849527140.0
109,2020-07-07,8903536343851.0
110,2020-07-08,8287529603820.0
111,2020-07-09,1964813574476.0
112,2020-07-10,2160934178583.0
113,2020-07-11,8834320989066.0
114,2020-07-12,8256095840045.0
115,2020-07-13,8814871809141.0
116,2020-07-14,8250557760926.0
117,2020-07-15,7657336833603.0
118,2020-07-16,1623441032398.0
119,2020-07-17,2179141665137.0
120,2020-07-18,8144435778190.0
121,2020-07-19,8975051492837.0
122,2020-07-20,7457639189599.0
123,2020-07-21,7198689785517.0
124,2020-07-22,6975875395089.0
125,2020-07-23,2142203136959.0
126,2020-07-24,2785079309191.0
127,2020-07-25,9622041814646.0
