<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Dollar,d,20100329,000000,10040.0000,10040.0000,10040.0000,10040.0000,0,10040.0000,43788
Dollar,d,20100330,000000,10020.0000,10020.0000,10020.0000,10020.0000,0,10020.0000,43788
Dollar,d,20100331,000000,10050.0000,10050.0000,10050.0000,10050.0000,0,10050.0000,43788
Dollar,d,20100404,000000,10010.0000,10010.0000,10010.0000,10010.0000,0,10010.0000,43788
Dollar,d,20100405,000000,10000.0000,10000.0000,10000.0000,10000.0000,0,10000.0000,43788
Dollar,d,20100406,000000,10050.0000,10050.0000,10050.0000,10050.0000,0,10050.0000,43788
Dollar,d,20100407,000000,10070.0000,10070.0000,10070.0000,10070.0000,0,10070.0000,43788
Dollar,d,20100408,000000,10070.0000,10070.0000,10070.0000,10070.0000,0,10070.0000,43788
Dollar,d,20100410,000000,10030.0000,10030.0000,10030.0000,10030.0000,0,10030.0000,43788
Dollar,d,20100411,000000,10030.0000,10030.0000,10030.0000,10030.0000,0,10030.0000,43788
Dollar,d,20100412,000000,10020.0000,10020.0000,10020.0000,10020.0000,0,10020.0000,43788
Dollar,d,20100413,000000,10040.0000,10040.0000,10040.0000,10040.0000,0,10040.0000,43788
Dollar,d,20100414,000000,10030.0000,10030.0000,10030.0000,10030.0000,0,10030.0000,43788
Dollar,d,20100415,000000,10040.0000,10040.0000,10040.0000,10040.0000,0,10040.0000,43788
Dollar,d,20100417,000000,10070.0000,10070.0000,10070.0000,10070.0000,0,10070.0000,43788
Dollar,d,20100418,000000,10060.0000,10060.0000,10060.0000,10060.0000,0,10060.0000,43788
Dollar,d,20100419,000000,10070.0000,10070.0000,10070.0000,10070.0000,0,10070.000,43788
Dollar,d,20100420,000000,10080.0000,10080.0000,10080.0000,10080.0000,0,10080.0000,43788
Dollar,d,20100421,000000,10100.0000,10100.0000,10100.0000,10100.0000,0,10100.000,43788
Dollar,d,20100422,000000,10120.0000,10120.0000,10120.0000,10120.0000,0,10120.0000,43788
Dollar,d,20100424,000000,10120.0000,10120.0000,10120.0000,10120.0000,0,10120.000,43788
Dollar,d,20100425,000000,10120.0000,10120.0000,10120.0000,10120.0000,0,10120.0000,43788
Dollar,d,20100426,000000,10140.0000,10140.0000,10140.0000,10140.0000,0,10140.000,43788
Dollar,d,20100427,000000,10150.0000,10150.0000,10150.0000,10150.0000,0,10150.000,43788
Dollar,d,20100428,000000,10200.0000,10200.0000,10200.0000,10200.0000,0,10200.0000,43788
Dollar,d,20100429,000000,10180.0000,10180.0000,10180.0000,10180.0000,0,10180.0000,43788
Dollar,d,20100501,000000,10160.0000,10160.0000,10160.0000,10160.0000,0,10160.0000,43788
Dollar,d,20100502,000000,10150.0000,10150.0000,10150.0000,10150.0000,0,10150.0000,43788
Dollar,d,20100503,000000,10170.0000,10170.0000,10170.0000,10170.0000,0,10170.000,43788
Dollar,d,20100504,000000,10170.0000,10170.0000,10170.0000,10170.0000,0,10170.000,43788
Dollar,d,20100505,000000,10230.0000,10230.0000,10230.0000,10230.0000,0,10230.0000,43788
Dollar,d,20100506,000000,10260.0000,10260.0000,10260.0000,10260.0000,0,10260.0000,43788
Dollar,d,20100508,000000,10280.0000,10280.0000,10280.0000,10280.0000,0,10280.0000,43788
Dollar,d,20100509,000000,10270.0000,10270.0000,10270.0000,10270.0000,0,10270.0000,43788
Dollar,d,20100510,000000,10250.0000,10250.0000,10250.0000,10250.0000,0,10250.0000,43788
Dollar,d,20100512,000000,10350.0000,10350.0000,10350.0000,10350.0000,0,10350.0000,43788
Dollar,d,20100513,000000,10340.0000,10340.0000,10340.0000,10340.0000,0,10340.0000,43788
Dollar,d,20100514,000000,10300.0000,10300.0000,10300.0000,10300.0000,0,10300.0000,43788
Dollar,d,20100515,000000,10390.0000,10390.0000,10390.0000,10390.0000,0,10390.0000,43788
Dollar,d,20100516,000000,10410.0000,10410.0000,10410.0000,10410.0000,0,10410.0000,43788
Dollar,d,20100518,000000,10430.0000,10430.0000,10430.0000,10430.0000,0,10430.0000,43788
Dollar,d,20100519,000000,10440.0000,10440.0000,10440.0000,10440.0000,0,10440.0000,43788
Dollar,d,20100520,000000,10410.0000,10410.0000,10410.0000,10410.0000,0,10410.0000,43788
Dollar,d,20100522,000000,10380.0000,10380.0000,10380.0000,10380.0000,0,10380.0000,43788
Dollar,d,20100523,000000,10350.0000,10350.0000,10350.0000,10350.0000,0,10350.0000,43788
Dollar,d,20100524,000000,10360.0000,10360.0000,10360.0000,10360.0000,0,10360.0000,43788
Dollar,d,20100525,000000,10450.0000,10450.0000,10450.0000,10450.0000,0,10450.0000,43788
Dollar,d,20100526,000000,10450.0000,10450.0000,10450.0000,10450.0000,0,10450.0000,43788
Dollar,d,20100527,000000,10440.0000,10440.0000,10440.0000,10440.0000,0,10440.000,43788
Dollar,d,20100529,000000,10430.0000,10430.0000,10430.0000,10430.0000,0,10430.0000,43788
Dollar,d,20100530,000000,10420.0000,10420.0000,10420.0000,10420.0000,0,10420.000,43788
Dollar,d,20100531,000000,10430.0000,10430.0000,10430.0000,10430.0000,0,10430.0000,43788
Dollar,d,20100601,000000,10440.0000,10440.0000,10440.0000,10440.0000,0,10440.000,43788
Dollar,d,20100602,000000,10470.0000,10470.0000,10470.0000,10470.0000,0,10470.0000,43788
Dollar,d,20100603,000000,10460.0000,10460.0000,10460.0000,10460.0000,0,10460.000,43788
Dollar,d,20100606,000000,10650.0000,10650.0000,10650.0000,10650.0000,0,10650.000,43788
Dollar,d,20100607,000000,10550.0000,10550.0000,10550.0000,10550.0000,0,10550.0000,43788
Dollar,d,20100608,000000,10550.0000,10550.0000,10550.0000,10550.0000,0,10550.0000,43788
Dollar,d,20100609,000000,10580.0000,10580.0000,10580.0000,10580.0000,0,10580.0000,43788
Dollar,d,20100610,000000,10550.0000,10550.0000,10550.0000,10550.0000,0,10550.0000,43788
Dollar,d,20100612,000000,10530.0000,10530.0000,10530.0000,10530.0000,0,10530.000,43788
Dollar,d,20100613,000000,10510.0000,10510.0000,10510.0000,10510.0000,0,10510.000,43788
Dollar,d,20100614,000000,10490.0000,10490.0000,10490.0000,10490.0000,0,10490.0000,43788
Dollar,d,20100615,000000,10460.0000,10460.0000,10460.0000,10460.0000,0,10460.0000,43788
Dollar,d,20100616,000000,10440.0000,10440.0000,10440.0000,10440.0000,0,10440.0000,43788
Dollar,d,20100617,000000,10470.0000,10470.0000,10470.0000,10470.0000,0,10470.0000,43788
Dollar,d,20100619,000000,10440.0000,10440.0000,10440.0000,10440.0000,0,10440.0000,43788
Dollar,d,20100620,000000,10440.0000,10440.0000,10440.0000,10440.0000,0,10440.0000,43788
