,date,sum_payment,sum_deposit,sum_balance,sum_balance_harmony,sum_balance_check,sum_balance_fastpay,index_value,dollar_value,sum_harmony_check
682,2022-12-10,4073419112446.0,4767786764878.0,4970608307216.0,709128882631.0,3364290029815.0,200000.0,1383737.5,369400.0,4073418912446.0
683,2022-12-11,4307587363720.0,6032790021607.0,5404447250468.0,1167876525483.0,3139710387465.0,450772.0,1389362.2,372400.0,4307586912948.0
684,2022-12-12,1924522115718.0,2289652134566.0,5625674874820.0,997460405281.0,927051116080.0,10594357.0,1409355.1,378300.0,1924511521361.0
685,2022-12-13,1638041991853.0,3539433394585.0,6457876067669.0,825837318990.0,812194911146.0,9761717.0,1454468.2,384266.6666666667,1638032230136.0
686,2022-12-14,3481603823048.0,4329098477984.0,7557583967183.0,928447397459.0,2552843597557.0,312828032.0,1472760.5,384833.3333333333,3481290995016.0
689,2022-12-17,2354625898580.0,3440416156333.0,7020057701355.0,879596056352.0,1475023340254.0,6501974.0,1469933.2,392733.3333333333,2354619396606.0
690,2022-12-18,2532992353373.0,2296177135829.0,7638742616246.0,1341005321500.0,1191983981873.0,3050000.0,1500241.8,393933.3333333333,2532989303373.0
691,2022-12-19,3178077546986.0,2905212705972.0,7438516714003.0,1270153446992.0,1907902849994.0,21250000.0,1500908.6,395600.0,3178056296986.0
692,2022-12-20,2676705323072.0,1774263129416.0,7226031027650.0,1272496667494.0,1404158355578.0,50300000.0,1492095.1,393000.0,2676655023072.0
693,2022-12-21,2729198568866.0,1755277631074.0,6062910100755.0,1148761022360.0,1579866504374.0,571042132.0,1496200.8,394866.6666666667,2728627526734.0
695,2022-12-24,1447595764911.0,3009130301549.0,8233323084649.0,801201105554.0,646384659357.0,10000000.0,1538003.2,404500.0,1447585764911.0
696,2022-12-25,2638826235907.0,3223365322711.0,10596686623080.0,1594000382668.0,1044116071845.0,709781394.0,1563567.4,409200.0,2638116454513.0
697,2022-12-26,2718052592972.0,2836615624112.0,10854322336842.0,1341148534665.0,1376073858307.0,830200000.0,1576396.8,415333.3333333333,2717222392972.0
698,2022-12-28,2608321272476.0,3024264832282.0,10929192276714.0,1267616923702.0,1338219348774.0,2485000000.0,1647314.5,435000.0,2605836272476.0
700,2022-12-31,2618819833996.0,3180422082827.0,13381151334024.0,1401615703266.0,1216213730730.0,990400000.0,1590495.5,403266.6666666667,2617829433996.0
701,2023-01-01,4279493671682.0,2995346795185.0,12098090494146.0,2031222701504.0,2248134336309.0,136633869.0,1564365.7,406900.0,4279357037813.0
702,2023-01-02,5174987563837.0,3689098405456.0,12455038308252.0,1516142195754.0,3658611484600.0,233883483.0,1593285.0,403033.3333333333,5174753680354.0
703,2023-01-03,3150393526223.0,2034495066360.0,11572906195256.0,2162665063262.0,987724925961.0,3537000.0,1591353.9,401433.3333333333,3150389989223.0
704,2023-01-04,2577077424293.0,6461954973438.0,14202305167367.0,1363631373808.0,1212486548099.0,959502386.0,1579119.3,397433.3333333333,2576117921907.0
707,2023-01-07,2452592497653.0,14941181432226.0,22279035075513.0,1837745703841.0,613878586999.0,968206813.0,1598061.4,410200.0,2451624290840.0
