,date,sum_balance_fastpay
0,2022-12-10,200000.0
1,2022-12-11,450772.0
2,2022-12-12,10594357.0
3,2022-12-13,9761717.0
4,2022-12-14,312828032.0
5,2022-12-15,928129395.0
6,2022-12-16,150000.0
7,2022-12-17,6501974.0
8,2022-12-18,3050000.0
9,2022-12-19,21250000.0
10,2022-12-20,50300000.0
11,2022-12-21,571042132.0
12,2022-12-22,200000000.0
13,2022-12-24,10000000.0
14,2022-12-25,709781394.0
15,2022-12-26,830200000.0
16,2022-12-28,2485000000.0
17,2022-12-30,400000.0
18,2022-12-31,990400000.0
19,2023-01-01,136633869.0
20,2023-01-02,233883483.0
21,2023-01-03,3537000.0
22,2023-01-04,959502386.0
23,2023-01-05,105602266.0
24,2023-01-06,111060000.0
25,2023-01-07,968206813.0
26,2023-01-08,2564880932.0
27,2023-01-09,2494554410.0
28,2023-01-10,1659586287.0
29,2023-01-11,1833605427.0
30,2023-01-12,718190000.0
31,2023-01-13,31271732.0
32,2023-01-14,6325488419.0
33,2023-01-15,1255988725.0
34,2023-01-16,3500336687.0
35,2023-01-17,1179814814.0
36,2023-01-18,5397971666.0
37,2023-01-19,2106512934.0
38,2023-01-20,3543309376.0
39,2023-01-21,7260248541.0
40,2023-01-22,6317505251.0
41,2023-01-23,7268269690.0
42,2023-01-24,2041137054.0
43,2023-01-25,5819950983.0
44,2023-01-26,1626089305.0
45,2023-01-27,96500000.0
46,2023-01-28,1883219591.0
47,2023-01-29,4768560446.0
48,2023-01-30,3645277175.0
49,2023-01-31,8977158298.0
50,2023-02-01,11116293786.0
51,2023-02-02,1292640441.0
52,2023-02-03,287398636.0
53,2023-02-04,1530320000.0
54,2023-02-05,15298460693.0
55,2023-02-06,8749988374.0
56,2023-02-07,5358510620.0
57,2023-02-08,7939291120.0
58,2023-02-09,1213705572.0
59,2023-02-10,251450254.0
60,2023-02-11,1999738210.0
61,2023-02-12,10084666548.0
62,2023-02-13,14753109068.0
63,2023-02-14,9551737301.0
64,2023-02-15,14078141299.0
65,2023-02-16,5125679010.0
66,2023-02-17,5952850424.0
67,2023-02-18,2990848669.0
68,2023-02-19,19800330279.0
69,2023-02-20,16885895417.0
70,2023-02-21,18684092267.0
71,2023-02-22,13445596959.0
72,2023-02-23,9147906454.0
73,2023-02-24,2349997701.0
74,2023-02-25,31530167257.0
75,2023-02-26,22313207678.0
76,2023-02-27,27870841615.0
77,2023-02-28,20899039187.0
78,2023-03-01,25168078338.0
79,2023-03-02,7430613999.0
80,2023-03-03,3942563462.0
81,2023-03-04,30158644708.0
82,2023-03-05,41590816436.0
83,2023-03-06,66813561856.0
84,2023-03-07,154993695490.0
85,2023-03-08,44029574392.0
86,2023-03-09,73286025134.0
87,2023-03-10,24658798589.0
88,2023-03-11,136444263116.0
89,2023-03-12,126294212053.0
90,2023-03-13,161553199473.0
91,2023-03-14,150890778974.0
92,2023-03-15,166145008357.0
93,2023-03-16,26362082057.0
94,2023-03-17,27056718369.0
95,2023-03-18,89423622645.0
96,2023-03-19,150493160248.0
97,2023-03-20,16630256510.0
98,2023-03-21,11396131307.0
99,2023-03-22,11853151706.0
100,2023-03-25,78447282060.0
101,2023-03-26,68909296976.0
102,2023-03-27,54522458475.0
103,2023-03-28,56230770313.0
104,2023-03-29,70917663479.0
105,2023-03-30,8811487012.0
106,2023-03-31,5467325428.0
107,2023-04-03,57933737494.0
108,2023-04-04,70042685024.0
109,2023-04-05,93203318938.0
110,2023-04-06,34629265147.0
111,2023-04-07,13002720952.0
112,2023-04-08,59691546668.0
113,2023-04-09,63080477826.0
114,2023-04-10,57596206510.0
115,2023-04-11,80371922552.0
116,2023-04-12,33526620813.0
117,2023-04-13,19444625264.0
118,2023-04-14,8538329757.0
119,2023-04-15,69082792313.0
120,2023-04-16,62613873144.0
121,2023-04-17,69594566059.0
122,2023-04-18,84677539457.0
123,2023-04-19,113549742417.0
124,2023-04-24,158835958159.0
125,2023-04-25,119752377220.0
126,2023-04-26,137231849312.0
127,2023-04-27,28738737369.0
128,2023-04-28,15842312446.0
129,2023-04-29,106005017610.0
130,2023-04-30,117319171648.0
131,2023-05-01,101524041896.0
132,2023-05-02,115518858024.0
133,2023-05-03,112605982315.0
134,2023-05-04,29932263388.0
135,2023-05-05,12044921893.0
136,2023-05-06,90071323423.0
137,2023-05-07,122591418993.0
138,2023-05-08,121805962530.0
139,2023-05-09,137276458478.0
140,2023-05-10,141591551570.0
141,2023-05-11,29321867857.0
142,2023-05-12,26790211061.0
143,2023-05-13,54383566875.0
144,2023-05-14,131385323892.0
145,2023-05-15,158320707786.0
146,2023-05-16,42433724426.0
147,2023-05-17,195845156321.0
148,2023-05-18,46623278681.0
149,2023-05-19,18854691330.0
150,2023-05-20,108852037833.0
151,2023-05-21,92996074496.0
152,2023-05-22,88396165312.0
153,2023-05-23,84699113395.0
154,2023-05-24,109697178743.0
155,2023-05-25,41870379420.0
156,2023-05-26,17009469537.0
157,2023-05-27,109821724510.0
158,2023-05-28,112251528205.0
159,2023-05-29,96118130873.0
160,2023-05-30,103259425660.0
161,2023-05-31,131969304785.0
162,2023-06-01,46403690934.0
163,2023-06-02,12593292427.0
164,2023-06-03,73379291787.0
165,2023-06-04,2703848832.0
166,2023-06-06,115588162508.0
167,2023-06-07,109290059043.0
168,2023-06-08,38916746731.0
169,2023-06-09,13702852335.0
170,2023-06-10,104765060943.0
171,2023-06-11,91466131101.0
172,2023-06-12,118105568348.0
173,2023-06-13,98168158739.0
174,2023-06-14,130427751216.0
175,2023-06-15,71946446913.0
176,2023-06-16,25177465051.0
177,2023-06-17,128028558009.0
178,2023-06-18,112647635720.0
179,2023-06-19,118486053473.0
180,2023-06-20,131174464387.0
181,2023-06-21,147380661086.0
182,2023-06-22,62649996101.0
183,2023-06-23,25348485881.0
184,2023-06-24,149274164255.0
185,2023-06-25,139022302240.0
186,2023-06-26,129625638963.0
187,2023-06-27,142597030494.0
188,2023-06-28,144601377541.0
189,2023-06-29,22796450291.0
190,2023-06-30,21330324134.0
191,2023-07-01,130952841996.0
192,2023-07-02,127194099582.0
193,2023-07-03,98678309299.0
194,2023-07-04,101638315561.0
195,2023-07-05,133805341996.0
196,2023-07-06,42626726368.0
197,2023-07-07,15702883702.0
198,2023-07-08,127146794639.0
199,2023-07-09,124656194521.0
200,2023-07-10,107728755074.0
201,2023-07-11,100291826970.0
202,2023-07-12,126297224421.0
203,2023-07-13,49779827009.0
204,2023-07-14,28677325023.0
205,2023-07-15,129050110764.0
206,2023-07-16,132230966040.0
207,2023-07-17,113399843613.0
208,2023-07-18,100136071304.0
209,2023-07-19,144131390236.0
210,2023-07-20,57268164422.0
211,2023-07-21,23146587686.0
212,2023-07-22,115878447458.0
213,2023-07-23,146733195856.0
214,2023-07-24,130762241926.0
215,2023-07-25,135113659643.0
216,2023-07-26,162190095843.0
217,2023-07-27,33529317171.0
218,2023-07-28,19514938631.0
219,2023-07-29,164440462661.0
220,2023-07-30,126992635700.0
221,2023-07-31,113566463578.0
222,2023-08-01,162744717708.0
223,2023-08-02,39891581353.0
224,2023-08-03,25883260603.0
225,2023-08-04,16190222909.0
226,2023-08-05,110647206026.0
227,2023-08-06,155833370406.0
228,2023-08-07,119795761446.0
229,2023-08-08,135302401309.0
230,2023-08-09,128150238568.0
231,2023-08-10,59559474327.0
232,2023-08-11,21968980456.0
233,2023-08-12,117947770697.0
234,2023-08-13,139998261446.0
235,2023-08-14,133212592142.0
236,2023-08-15,117890041761.0
237,2023-08-16,145266187204.0
238,2023-08-17,62515451424.0
239,2023-08-18,22203671032.0
240,2023-08-19,123697538358.0
241,2023-08-20,120855529911.0
242,2023-08-21,102435384318.0
