,date,sum_balance_harmony
0,2020-03-24,7059404659.0
1,2020-03-25,11787568634.0
2,2020-03-28,11799042441.0
3,2020-03-29,8829985952.0
4,2020-03-30,8033257498.0
5,2020-04-04,9061913247.0
6,2020-04-05,16022454324.0
7,2020-04-06,13085250406.0
8,2020-04-07,12725575757.0
9,2020-04-08,11603799015.0
10,2020-04-11,7024747565.0
11,2020-04-12,19157785731.0
12,2020-04-13,21405818545.0
13,2020-04-14,21065421626.0
14,2020-04-15,32706718497.0
15,2020-04-18,20906947128.0
16,2020-04-19,110000059004.0
17,2020-04-20,34640164587.0
18,2020-04-21,31673805394.0
19,2020-04-22,38433896445.0
20,2020-04-25,19288264255.0
21,2020-04-26,38968500943.0
22,2020-04-28,33820181533.0
23,2020-04-29,28531218353.0
24,2020-05-02,35858227291.0
25,2020-05-03,46582328935.0
26,2020-05-04,26282402014.0
27,2020-05-05,36482185802.0
28,2020-05-06,45043927904.0
29,2020-05-09,38816304364.0
30,2020-05-10,47129034138.0
31,2020-05-11,48858810772.0
32,2020-05-12,54365787954.0
33,2020-05-13,41244064486.0
34,2020-05-16,63310512039.0
35,2020-05-18,59934235265.0
36,2020-05-19,68366788833.0
37,2020-05-20,64292685413.0
38,2020-05-23,59789309648.0
39,2020-05-30,57952340544.0
40,2020-06-01,59454666660.0
41,2020-06-06,63328940534.0
42,2020-06-08,60465718480.0
43,2020-06-09,50501996265.0
44,2020-06-10,63465765965.0
45,2020-06-13,51997003369.0
46,2020-06-14,85168196200.0
47,2020-06-15,78014707079.0
48,2020-06-16,91059101673.0
49,2020-06-20,72183805946.0
50,2020-06-21,58450222099.0
51,2020-06-22,100978861046.0
52,2020-06-23,19622960960.0
53,2020-08-04,157531415337.0
54,2020-08-05,142897334060.0
55,2020-08-09,115104365710.0
56,2020-08-11,144995938977.0
57,2020-08-12,126104253577.0
58,2020-08-15,105086223386.0
59,2020-10-05,112738512578.0
60,2020-10-06,81662474499.0
61,2020-10-07,84301641074.0
62,2020-10-10,73223139298.0
63,2020-10-11,10825329634.0
64,2021-01-04,93204914244.0
65,2021-01-05,127818349745.0
66,2021-01-11,9485120778.0
67,2021-01-12,88646861218.0
68,2021-01-13,7767911900.0
69,2021-10-10,183083347.0
70,2021-10-11,97736628604.0
71,2021-10-12,77421328619.0
72,2021-10-13,104070012626.0
73,2021-10-16,79140912432.0
74,2021-10-17,70940163824.0
75,2021-10-18,100284552947.0
76,2021-10-19,59477908368.0
77,2021-10-20,64874471613.0
78,2021-10-23,58194118178.0
79,2021-10-25,100821630400.0
80,2021-10-26,75551419674.0
81,2021-10-27,79275456019.0
82,2021-10-30,60326455763.0
83,2021-10-31,69259020512.0
84,2021-11-01,72375644351.0
85,2021-11-02,54728303493.0
86,2021-11-03,51626111101.0
87,2021-11-06,33010412108.0
88,2021-11-07,59102405409.0
89,2021-11-08,47138728314.0
90,2021-11-09,73186402610.0
91,2021-11-10,58663072797.0
92,2021-11-13,56053143502.0
93,2021-11-14,63830777719.0
94,2021-11-15,139477793530.0
95,2021-11-16,120483956585.0
96,2021-11-17,54775452656.0
97,2021-11-20,103325995404.0
98,2021-11-21,78063428648.0
99,2021-11-22,44008469066.0
100,2021-11-23,61044334533.0
101,2021-11-24,44148280632.0
102,2021-11-27,36051963056.0
103,2021-11-28,93116368456.0
104,2021-11-29,56345023660.0
105,2021-11-30,60114601436.0
106,2021-12-01,42969769438.0
107,2021-12-04,64449680515.0
108,2021-12-05,76341226842.0
109,2021-12-06,40410579209.0
110,2021-12-07,47812826645.0
111,2021-12-08,44535602961.0
112,2021-12-11,39884618447.0
113,2021-12-12,47605392253.0
114,2021-12-13,58738077225.0
115,2021-12-14,72475899436.0
116,2021-12-15,82937957341.0
117,2021-12-18,61004057525.0
118,2021-12-19,108657824927.0
119,2021-12-20,87806607272.0
120,2021-12-21,161445710403.0
121,2021-12-22,89727034742.0
122,2021-12-25,36831892506.0
123,2021-12-26,96087811677.0
124,2021-12-27,103761556202.0
125,2021-12-28,70268027410.0
126,2021-12-29,114120794852.0
127,2022-01-01,75394754117.0
128,2022-01-02,125470511887.0
129,2022-01-03,98269263631.0
130,2022-01-04,96154184985.0
131,2022-01-05,120749962413.0
132,2022-01-08,58343823669.0
133,2022-01-09,192728761257.0
134,2022-01-10,120853361191.0
135,2022-01-11,108319678921.0
136,2022-01-12,115718907876.0
137,2022-01-15,145642970572.0
138,2022-01-16,147328651758.0
139,2022-01-17,107881649268.0
140,2022-01-18,161956532480.0
141,2022-01-19,131041747058.0
142,2022-01-22,97610174905.0
143,2022-01-23,99660809948.0
144,2022-01-24,216193458274.0
145,2022-01-25,88576693170.0
146,2022-01-26,104107082263.0
147,2022-01-29,59847306234.0
148,2022-01-30,183793829528.0
149,2022-01-31,162224071002.0
150,2022-02-01,146450355911.0
151,2022-02-02,120177101897.0
152,2022-02-05,100858730377.0
153,2022-02-06,148460565709.0
154,2022-02-07,166322611405.0
155,2022-02-08,96643114488.0
156,2022-02-09,137347936577.0
157,2022-02-12,123815673592.0
158,2022-02-13,460055209479.0
159,2022-02-14,136273868525.0
160,2022-02-16,427387590623.0
161,2022-02-19,469993553295.0
162,2022-02-20,527581860184.0
163,2022-02-21,160488259932.0
164,2022-02-22,377587342457.0
165,2022-02-23,296746174184.0
166,2022-02-26,268700833602.0
167,2022-02-27,495415481467.0
168,2022-02-28,530796273522.0
169,2022-03-02,429906297111.0
170,2022-03-05,389709163904.0
171,2022-03-06,519749013704.0
172,2022-03-07,500865468034.0
173,2022-03-08,433327192582.0
174,2022-03-09,495182541195.0
175,2022-03-12,549521545119.0
176,2022-03-13,688222045524.0
177,2022-03-14,577231340603.0
178,2022-03-15,593007630646.0
179,2022-03-16,756335551211.0
180,2022-03-19,640483830019.0
181,2022-03-26,258168082619.0
182,2022-03-27,328579850663.0
